id;satellite;sensor;mode;acquisition start;acquisition stop;orbit;orbit direction;polarisation mode;elevation angle;incidence angle;number of frames;interferometric stack id;Geo Bas Perp;Geo Bas Parallel;cloud percent;off nadir angle;sun elevation angle;area square kilometers;AoI coverage;footprint
1679087;COSMO-SkyMed-2;StripMap (HIMAGE) - Right;H4-03;2021-01-11 at 04:21:04 UTC;2021-01-11 at 04:21:26 UTC;70835;ASCENDING;HH;N/A;0.029330500000000002;4;N/A;N/A;N/A;N/A;N/A;N/A;6083.3;6913519786458270%;POLYGON((18.56728 39.694992,18.233931 41.022999,17.761761 40.954712,18.104219 39.626938,18.56728 39.694992))
1683117;COSMO-SkyMed-2;StripMap (HIMAGE) - Right;H4-04;2021-01-13 at 16:44:59 UTC;2021-01-13 at 16:45:13 UTC;70872;DESCENDING;HH;N/A;0.0321905;2;N/A;N/A;N/A;N/A;N/A;N/A;3689.0;39755573773434700%;POLYGON((17.543381 40.970539,17.347691 40.170483,17.81782 40.103523,18.01919 40.90379,17.543381 40.970539))
1686434;COSMO-SkyMed-2;StripMap (HIMAGE) - Right;H4-03;2021-01-16 at 04:14:55 UTC;2021-01-16 at 04:15:03 UTC;70909;ASCENDING;HH;N/A;0.029318999999999998;1;N/A;N/A;N/A;N/A;N/A;N/A;2066.0;0.19919020034618462%;POLYGON((20.132669 39.500721,20.023809 39.950809,19.5562 39.882294,19.67087 39.432732,20.132669 39.500721))
1693030;COSMO-SkyMed-2;StripMap (HIMAGE) - Right;H4-01;2021-01-19 at 16:56:43 UTC;2021-01-19 at 16:57:26 UTC;70961;DESCENDING;HH;N/A;0.026558;7;N/A;N/A;N/A;N/A;N/A;N/A;11870.7;3516141889185840%;POLYGON((15.72128 42.323208,15.051181 39.753677,15.51771 39.683655,16.2061 42.25251,15.72128 42.323208))
1700625;COSMO-SkyMed-2;StripMap (HIMAGE) - Right;H4-03;2021-01-22 at 04:26:51 UTC;2021-01-22 at 04:27:50 UTC;70998;ASCENDING;HH;N/A;0.02935;10;N/A;N/A;N/A;N/A;N/A;N/A;16577.3;6363667933084450%;POLYGON((17.2938 38.710697,16.382549 42.328445,15.90083 42.259876,16.83712 38.642735,17.2938 38.710697))
1700608;COSMO-SkyMed-2;StripMap (HIMAGE) - Right;H4-03;2021-01-24 at 16:51:02 UTC;2021-01-24 at 16:51:09 UTC;71035;DESCENDING;VV;N/A;0.029311499999999997;1;N/A;N/A;N/A;N/A;N/A;N/A;2077.6;0.40453821834471176%;POLYGON((16.475901 41.002617,16.361317 40.553341,16.837162 40.484051,16.949562 40.934048,16.475901 41.002617))
1710634;COSMO-SkyMed-2;StripMap (HIMAGE) - Right;H4-03;2021-02-01 at 04:14:55 UTC;2021-02-01 at 04:15:03 UTC;71146;ASCENDING;HH;N/A;0.029318;1;N/A;N/A;N/A;N/A;N/A;N/A;2067.3;0.20622678956567542%;POLYGON((20.127411 39.499744,20.019127 39.949917,19.55098 39.881264,19.665649 39.431667,20.127411 39.499744))
1723750;COSMO-SkyMed-2;StripMap (HIMAGE) - Right;H4-03;2021-02-09 at 16:51:02 UTC;2021-02-09 at 16:51:09 UTC;71272;DESCENDING;HH;N/A;0.029311499999999997;1;N/A;N/A;N/A;N/A;N/A;N/A;2083.3;0.4045157500026734%;POLYGON((16.474007 41.00359,16.359547 40.55336,16.835432 40.484257,16.94836 40.935173,16.474007 41.00359))
1726665;COSMO-SkyMed-2;StripMap (HIMAGE) - Right;H4-03;2021-02-12 at 04:21:02 UTC;2021-02-12 at 04:21:24 UTC;71309;ASCENDING;HH;N/A;0.0293275;4;N/A;N/A;N/A;N/A;N/A;N/A;6080.0;6901165732015440%;POLYGON((18.56411 39.691975,18.230921 41.019176,17.758739 40.951069,18.101061 39.623936,18.56411 39.691975))
1730031;COSMO-SkyMed-2;StripMap (HIMAGE) - Right;H4-03;2021-02-17 at 04:14:54 UTC;2021-02-17 at 04:15:02 UTC;71383;ASCENDING;HH;N/A;0.029318999999999998;1;N/A;N/A;N/A;N/A;N/A;N/A;2067.4;0.20696436882348973%;POLYGON((20.127529 39.500027,20.019197 39.950214,19.551041 39.881596,19.665751 39.43198,20.127529 39.500027))
