,CSK,SEN,IoU,geometry
136,1551101,S1B_IW_SLC__1SDV_20201025T164821_20201025T164848_023972_02D908_6301,0.07208856292000143,"MULTIPOLYGON (((15.568076 39.46843, 15.152169 41.09547, 18.21789 41.499443, 18.557793 39.873241, 15.568076 39.46843)), ((17.81745 40.139149, 17.347099 40.206234, 17.530121 40.953861, 18.005711 40.886707, 17.81745 40.139149)))"
144,1650050,S1B_IW_SLC__1SDV_20201212T164820_20201212T164847_024672_02EF22_8D80,0.07716238732926622,"MULTIPOLYGON (((15.568561 39.468575, 15.152826 41.095119, 18.218683 41.49905, 18.558428 39.873344, 15.568561 39.468575)), ((17.816031 40.107044, 17.345831 40.173836, 17.541531 40.973984, 18.017321 40.907082, 17.816031 40.107044)))"
147,1656872,S1A_IW_SLC__1SDV_20201218T164925_20201218T164952_035743_042EC4_2EE0,0.11536802770561612,"MULTIPOLYGON (((15.213188 40.910583, 14.788954 42.530228, 17.914122 42.931881, 18.257406 41.312756, 15.213188 40.910583)), ((15.52404 39.708294, 15.05737 39.7784, 15.7223 42.328079, 16.20718 42.257469, 15.52404 39.708294)))"
148,1656872,S1A_IW_SLC__1SDV_20201218T164900_20201218T164927_035743_042EC4_6F8F,0.07853823202752153,"MULTIPOLYGON (((15.594145 39.419918, 15.180814 41.039837, 18.2309 41.441887, 18.569078 39.822826, 15.594145 39.419918)), ((15.52404 39.708294, 15.05737 39.7784, 15.7223 42.328079, 16.20718 42.257469, 15.52404 39.708294)))"
158,1756526,S1B_IW_SLC__1SDV_20210313T164037_20210313T164104_025999_031A13_8B13,0.04598172166933096,"MULTIPOLYGON (((17.135767 41.532181, 16.70775 43.150551, 19.85071 43.54966, 20.195705 41.93169, 17.135767 41.532181)), ((18.172529 42.433456, 17.64616 42.511696, 17.754759 42.952831, 18.268326 42.876945, 18.172529 42.433456)))"
167,1764518,S1B_IW_SLC__1SDV_20210318T164817_20210318T164844_026072_031C5F_4581,0.0805335898704087,"MULTIPOLYGON (((15.568328 39.468067, 15.152614 41.094498, 18.218296 41.498466, 18.558048 39.872879, 15.568328 39.468067)), ((17.814911 40.092529, 17.34486 40.159515, 17.54921 40.994385, 18.025141 40.927418, 17.814911 40.092529)))"
170,1773891,S1A_IW_SLC__1SDV_20210324T164923_20210324T164950_037143_045F87_1519,0.113316050511165,"MULTIPOLYGON (((15.214427 40.909664, 14.790346 42.528954, 17.915316 42.930584, 18.258492 41.311817, 15.214427 40.909664)), ((15.51526 39.684826, 15.048761 39.754978, 15.71405 42.30545, 16.198681 42.234554, 15.51526 39.684826)))"
171,1773891,S1A_IW_SLC__1SDV_20210324T164858_20210324T164925_037143_045F87_F8E9,0.07782305377073348,"MULTIPOLYGON (((15.595332 39.41898, 15.182021 41.03904, 18.231884 41.441059, 18.570061 39.821861, 15.595332 39.41898)), ((15.51526 39.684826, 15.048761 39.754978, 15.71405 42.30545, 16.198681 42.234554, 15.51526 39.684826)))"
180,1278346,S1A_IW_SLC__1SDV_20200129T164917_20200129T164944_031018_03901B_2ED9,0.11584695605922682,"MULTIPOLYGON (((15.213587 40.909973, 14.789338 42.529613, 17.914539 42.931305, 18.257843 41.31218, 15.213587 40.909973)), ((15.19783 39.943943, 14.732689 40.012268, 15.34197 42.403599, 15.824259 42.335007, 15.19783 39.943943)))"
181,1278346,S1A_IW_SLC__1SDV_20200129T164852_20200129T164919_031018_03901B_F88E,0.015620858163532717,"MULTIPOLYGON (((15.594493 39.419552, 15.181178 41.039349, 18.231234 41.441425, 18.569407 39.822491, 15.594493 39.419552)), ((15.19783 39.943943, 14.732689 40.012268, 15.34197 42.403599, 15.824259 42.335007, 15.19783 39.943943)))"
