,CSK,SAO,IoU,geometry
38,1663886,EOL1ASARSAO1A1289028,0.002273491224384439,"MULTIPOLYGON (((15.5844813532709 41.2881855490156, 15.3366602734495 42.2817326500541, 16.1413290947216 42.3886708704912, 16.376273261727 41.3949993966449, 15.5844813532709 41.2881855490156)), ((15.489779 39.707024, 14.845671 42.244518, 15.33136 42.311562, 15.976431 39.776501, 15.489779 39.707024)))"
39,1663886,EOL1ASARSAO1A1289039,0.004064229775506769,"MULTIPOLYGON (((15.7289705795748 40.7009505162369, 15.4835215946918 41.6950332137118, 16.2706843349601 41.8006115043568, 16.5037746175937 40.8064305783274, 15.7289705795748 40.7009505162369)), ((15.489779 39.707024, 14.845671 42.244518, 15.33136 42.311562, 15.976431 39.776501, 15.489779 39.707024)))"
40,1663886,EOL1ASARSAO1A1289051,0.006787952860517592,"MULTIPOLYGON (((15.8830529019182 40.0683566875174, 15.6403434835521 41.061821712269, 16.4195638754439 41.167332636897, 16.6503071480363 40.1737867933139, 15.8830529019182 40.0683566875174)), ((15.489779 39.707024, 14.845671 42.244518, 15.33136 42.311562, 15.976431 39.776501, 15.489779 39.707024)))"
49,1696271,EOL1ASARSAO1A1382995,0.17148004980028497,"MULTIPOLYGON (((17.9643269399882 39.7774218152311, 17.2461750843291 39.8811733370152, 17.5010389147164 40.9288687235676, 18.2310619436249 40.8248684306904, 17.9643269399882 39.7774218152311)), ((17.52725 40.080475, 17.05241 40.147034, 17.30604 41.20171, 17.78838 41.135036, 17.52725 40.080475)))"
50,1696271,EOL1ASARSAO1A1383006,0.19158530378598115,"MULTIPOLYGON (((18.0662918061036 40.1800992755229, 17.3436372592448 40.2838971153817, 17.5934648592682 41.3043926953738, 18.3279003641691 41.2003145007824, 18.0662918061036 40.1800992755229)), ((17.52725 40.080475, 17.05241 40.147034, 17.30604 41.20171, 17.78838 41.135036, 17.52725 40.080475)))"
51,1702876,EOL1ASARSAO1A1390850,0.33045839440015057,"MULTIPOLYGON (((14.8630758553165 41.1794698402756, 14.5961828949864 42.201078533958, 15.3528197398021 42.3068793741405, 15.6071501517331 41.2848997313612, 14.8630758553165 41.1794698402756)), ((15.482441 39.710548, 14.837961 42.249027, 15.32373 42.315865, 15.963624 39.779018, 15.482441 39.710548)))"
53,1733809,EOL1ASARSAO1A1529469,0.00811404565480867,"MULTIPOLYGON (((17.7188804224073 40.9069274312798, 17.0117055608705 43.5373486126641, 18.346761262703 43.7204991043432, 18.9964309074772 41.0884409882556, 17.7188804224073 40.9069274312798)), ((17.798361 39.553631, 17.412239 41.020485, 17.895691 41.091564, 18.27153 39.624447, 17.798361 39.553631)))"
54,1733809,EOL1ASARSAO1A1529444,0.09596907448866249,"MULTIPOLYGON (((18.1132645252072 39.3490739178424, 17.4857924544083 41.7586376270844, 18.7818917938472 41.9408091388664, 19.3608484956684 39.5301182370779, 18.1132645252072 39.3490739178424)), ((17.798361 39.553631, 17.412239 41.020485, 17.895691 41.091564, 18.27153 39.624447, 17.798361 39.553631)))"
58,1796326,EOL1ASARSAO1A1694467,0.22509794040341863,"MULTIPOLYGON (((16.5682724423357 39.970849170975, 15.9802682735672 40.0485318641023, 16.2213833652647 41.1279143350971, 16.819260225419 41.0503197224594, 16.5682724423357 39.970849170975)), ((16.808123 40.511539, 16.323612 40.575359, 16.416777 40.986603, 16.902256 40.923103, 16.808123 40.511539)))"
59,1796326,EOL1ASARSAO1A1694434,0.14915600913553836,"MULTIPOLYGON (((16.7163780171129 40.6540722226304, 16.1321017602006 40.7303912171708, 16.3624837807424 41.7526798473592, 16.9562526203497 41.6764043149722, 16.7163780171129 40.6540722226304)), ((16.808123 40.511539, 16.323612 40.575359, 16.416777 40.986603, 16.902256 40.923103, 16.808123 40.511539)))"
60,1796326,EOL1ASARSAO1A1694452,0.0003534543725010973,"MULTIPOLYGON (((16.782634843058 40.938056587201, 16.195771996708 41.0143685455944, 16.4397567812149 42.0923171860239, 17.0367937525037 42.0160744479472, 16.782634843058 40.938056587201)), ((16.808123 40.511539, 16.323612 40.575359, 16.416777 40.986603, 16.902256 40.923103, 16.808123 40.511539)))"
