,CSK,SAO,IoU,geometry
35,1699257,EOL1ASARSAO1A1386298,0.13457007028541287,"MULTIPOLYGON (((8.55708145210914 38.5666405426336, 7.85069577195928 38.6703237281882, 8.102905529456301 39.726351312941, 8.820585343199751 39.6224426003493, 8.55708145210914 38.5666405426336)), ((8.77631 38.660969, 8.319570000000001 38.729168, 9.036004 41.630932, 9.522040000000001 41.561016, 8.77631 38.660969)))"
36,1699257,EOL1ASARSAO1A1386416,0.1550934177652362,"MULTIPOLYGON (((8.712940473080179 39.1933997773668, 7.99018770774396 39.2985896519731, 8.24462201335605 40.3542666200889, 8.979178658327109 40.2488204082248, 8.712940473080179 39.1933997773668)), ((8.77631 38.660969, 8.319570000000001 38.729168, 9.036004 41.630932, 9.522040000000001 41.561016, 8.77631 38.660969)))"
37,1699257,EOL1ASARSAO1A1386314,0.14717469727777666,"MULTIPOLYGON (((8.859164582363301 39.8216615689773, 8.14070990602125 39.9253360404459, 8.38966134194985 40.94822391288, 9.119723266496919 40.8442923989864, 8.859164582363301 39.8216615689773)), ((8.77631 38.660969, 8.319570000000001 38.729168, 9.036004 41.630932, 9.522040000000001 41.561016, 8.77631 38.660969)))"
38,1699257,EOL1ASARSAO1A1386327,0.15331058142038317,"MULTIPOLYGON (((8.992995791163359 40.3492101603534, 8.26863501861477 40.4530522900314, 8.52777380299254 41.5083012751126, 9.264441158830961 41.4041962419335, 8.992995791163359 40.3492101603534)), ((8.77631 38.660969, 8.319570000000001 38.729168, 9.036004 41.630932, 9.522040000000001 41.561016, 8.77631 38.660969)))"
39,1699257,EOL1ASARSAO1A1386386,0.11552820348135101,"MULTIPOLYGON (((9.102616993293889 40.7777238725867, 8.3733347214981 40.8816623540663, 8.63423015669046 41.9363611156322, 9.376072020964889 41.8321158382704, 9.102616993293889 40.7777238725867)), ((8.77631 38.660969, 8.319570000000001 38.729168, 9.036004 41.630932, 9.522040000000001 41.561016, 8.77631 38.660969)))"
47,1751759,EOL1ASARSAO1A1582482,0.24767483151189526,"MULTIPOLYGON (((8.95174585382801 40.5665978335671, 8.687933138197581 41.5882482409106, 9.431934204689441 41.6931272559602, 9.68363932809943 40.6711787027259, 8.95174585382801 40.5665978335671)), ((9.56382 39.038761, 8.979369999999999 41.371086, 9.45856 41.437851, 10.02691 39.105312, 9.56382 39.038761)))"
48,1751759,EOL1ASARSAO1A1582481,0.35506777845628124,"MULTIPOLYGON (((9.099852469563841 39.9732063113053, 8.838877521663621 40.9946499205107, 9.574868348848531 41.0992584621272, 9.82410964171244 40.0775153300989, 9.099852469563841 39.9732063113053)), ((9.56382 39.038761, 8.979369999999999 41.371086, 9.45856 41.437851, 10.02691 39.105312, 9.56382 39.038761)))"
49,1751759,EOL1ASARSAO1A1582518,0.3619126888277572,"MULTIPOLYGON (((9.24672377331836 39.378825669528, 8.97990464080072 40.4336722775304, 9.709658981572881 40.5381456091913, 9.96468745356734 39.4830551475916, 9.24672377331836 39.378825669528)), ((9.56382 39.038761, 8.979369999999999 41.371086, 9.45856 41.437851, 10.02691 39.105312, 9.56382 39.038761)))"
50,1751759,EOL1ASARSAO1A1582458,0.26499900708507923,"MULTIPOLYGON (((9.390777320725469 38.7844459523163, 9.126453011848261 39.8398516426729, 9.850016226706019 39.9442794199745, 10.1028764136248 38.8886477719914, 9.390777320725469 38.7844459523163)), ((9.56382 39.038761, 8.979369999999999 41.371086, 9.45856 41.437851, 10.02691 39.105312, 9.56382 39.038761)))"
51,1751759,EOL1ASARSAO1A1582430,0.11488883785912535,"MULTIPOLYGON (((9.48749543888454 38.388030580088, 9.23313951873563 39.4105625114389, 9.95206127480898 39.514917407332, 10.1955346358376 38.4921672309355, 9.48749543888454 38.388030580088)), ((9.56382 39.038761, 8.979369999999999 41.371086, 9.45856 41.437851, 10.02691 39.105312, 9.56382 39.038761)))"
