Granule Name,"Platform","Sensor","Beam Mode","Beam Mode Description","Orbit","Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?","URL","Size (MB)","Off Nadir Angle","Stack Size","Doppler","GroupID","Pointing Angle"
S1A_IW_SLC__1SDV_20210313T173023_20210313T173050_036983_045A02_17B8,"Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","36983","161","131","2021-03-13T17:30:50.000000","2021-03-13T17:30:23.000000","SLC","2021-03-13T17:30:23.000000","2021-03-13T17:30:50.000000","41.447","6.3658","40.426945","5.056707","40.827564","8.064008","42.046448","4.636347","42.446442","7.722267","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210313T173023_20210313T173050_036983_045A02_17B8.zip","3646.5839233398438","None","None","0","S1A_IWDV_0131_0136_036983_161",""
S1A_IW_SLC__1SDV_20210313T172957_20210313T173025_036983_045A02_2E3C,"Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","36983","161","126","2021-03-13T17:30:25.000000","2021-03-13T17:29:57.000000","SLC","2021-03-13T17:29:57.000000","2021-03-13T17:30:25.000000","39.9272","6.72","38.878132","5.448003","39.279686","8.385813","40.555832","5.023688","40.95639","8.037016","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210313T172957_20210313T173025_036983_045A02_2E3C.zip","3535.721284866333","None","None","0","S1A_IWDV_0126_0131_036983_161",""
S1A_IW_SLC__1SDV_20210313T172933_20210313T172959_036983_045A02_E6B1,"Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","36983","161","121","2021-03-13T17:29:59.000000","2021-03-13T17:29:33.000000","SLC","2021-03-13T17:29:33.000000","2021-03-13T17:29:59.000000","38.4065","7.0671","37.385864","5.816124","37.788586","8.691744","39.006855","5.415854","39.408314","8.359164","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210313T172933_20210313T172959_036983_045A02_E6B1.zip","3309.843518257141","None","None","0","S1A_IWDV_0121_0127_036983_161",""
S1B_IW_SLC__1SDV_20210313T053622_20210313T053659_025992_0319D0_A137,"Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","25992","66","458","2021-03-13T05:36:59.000000","2021-03-13T05:36:22.000000","SLC","2021-03-13T05:36:22.000000","2021-03-13T05:36:59.000000","39.8915","6.9604","40.801342","8.700107","41.194439","5.731823","38.568813","8.136438","38.963203","5.266622","None","DESCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20210313T053622_20210313T053659_025992_0319D0_A137.zip","4852.227313995361","None","None","0","S1B_IWDV_0458_0466_025992_066",""
S1B_IW_SLC__1SDV_20210313T053557_20210313T053624_025992_0319D0_1237,"Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","25992","66","453","2021-03-13T05:36:24.000000","2021-03-13T05:35:57.000000","SLC","2021-03-13T05:35:57.000000","2021-03-13T05:36:24.000000","41.6887","7.381","42.291267","9.088434","42.683872","6.048084","40.673458","8.667251","41.066612","5.704907","None","DESCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20210313T053557_20210313T053624_025992_0319D0_1237.zip","3725.207304954529","None","None","0","S1B_IWDV_0453_0459_025992_066",""
S1B_IW_SLC__1SDV_20210309T171315_20210309T171343_025941_031822_1857,"Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","25941","15","131","2021-03-09T17:13:43.000000","2021-03-09T17:13:15.000000","SLC","2021-03-09T17:13:15.000000","2021-03-09T17:13:43.000000","41.5534","10.4489","40.502338","9.134806","40.905861","12.16651","42.180386","8.697958","42.58329","11.81213","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20210309T171315_20210309T171343_025941_031822_1857.zip","3595.7151260375977","None","None","0","S1B_IWDV_0131_0137_025941_015",""
S1B_IW_SLC__1SDV_20210309T171250_20210309T171317_025941_031822_A83B,"Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","25941","15","126","2021-03-09T17:13:17.000000","2021-03-09T17:12:50.000000","SLC","2021-03-09T17:12:50.000000","2021-03-09T17:13:17.000000","40.0328","10.8037","39.010773","9.512668","39.415173","12.47663","40.631226","9.10171","41.034683","12.139506","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20210309T171250_20210309T171317_025941_031822_A83B.zip","3432.7472639083862","None","None","0","S1B_IWDV_0126_0132_025941_015",""
S1B_IW_SLC__1SDV_20210309T171226_20210309T171252_025941_031822_8AB6,"Sentinel-1B","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","25941","15","121","2021-03-09T17:12:52.000000","2021-03-09T17:12:26.000000","SLC","2021-03-09T17:12:26.000000","2021-03-09T17:12:52.000000","38.5409","11.1451","37.518456","9.881899","37.924007","12.782896","39.139736","9.480358","39.544048","12.449983","None","ASCENDING","https://datapool.asf.alaska.edu/SLC/SB/S1B_IW_SLC__1SDV_20210309T171226_20210309T171252_025941_031822_8AB6.zip","3490.8124923706055","None","None","0","S1B_IWDV_0121_0127_025941_015",""
S1A_IW_SLC__1SDV_20210309T052111_20210309T052138_036917_0457BA_1ECB,"Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","36917","95","465","2021-03-09T05:21:38.000000","2021-03-09T05:21:11.000000","SLC","2021-03-09T05:21:11.000000","2021-03-09T05:21:38.000000","38.1379","10.664","38.73764","12.316998","39.1413","9.369108","37.115547","11.918015","37.520542","9.037333","None","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210309T052111_20210309T052138_036917_0457BA_1ECB.zip","3473.596923828125","None","None","0","S1A_IWDV_0465_0470_036917_095",""
S1A_IW_SLC__1SDV_20210309T052046_20210309T052113_036917_0457BA_8F3D,"Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","36917","95","460","2021-03-09T05:21:13.000000","2021-03-09T05:20:46.000000","SLC","2021-03-09T05:20:46.000000","2021-03-09T05:21:13.000000","39.6301","11.0015","40.229671","12.690473","40.632198","9.67688","38.608269","12.282384","39.011841","9.341069","None","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210309T052046_20210309T052113_036917_0457BA_8F3D.zip","3511.304849624634","None","None","0","S1A_IWDV_0459_0466_036917_095",""
